iter	Passed	Remaining
906	17149	1758
907	17168	1739
908	17188	1720
909	17206	1701
910	17223	1682
911	17241	1663
912	17261	1644
913	17279	1625
914	17296	1606
915	17312	1587
916	17333	1568
917	17350	1549
918	17368	1530
919	17385	1511
920	17405	1493
921	17426	1474
922	17443	1455
923	17460	1436
924	17479	1417
925	17501	1398
926	17522	1379
927	17542	1361
928	17560	1342
929	17579	1323
930	17596	1304
931	17618	1285
932	17640	1266
933	17659	1247
934	17679	1229
935	17700	1210
936	17722	1191
937	17743	1172
938	17764	1154
939	17783	1135
940	17803	1116
941	17821	1097
942	17842	1078
943	17862	1059
944	17881	1040
945	17902	1021
946	17921	1002
947	17941	984
948	17960	965
949	17981	946
950	18001	927
951	18019	908
952	18037	889
953	18055	870
954	18072	851
955	18091	832
956	18108	813
957	18128	794
958	18148	775
959	18168	757
960	18188	738
961	18206	719
962	18225	700
963	18241	681
964	18258	662
965	18278	643
966	18297	624
967	18316	605
968	18333	586
969	18349	567
970	18369	548
971	18388	529
972	18406	510
973	18422	491
974	18441	472
975	18458	453
976	18474	434
977	18495	416
978	18513	397
979	18532	378
980	18546	359
981	18563	340
982	18579	321
983	18596	302
984	18614	283
985	18634	264
986	18650	245
987	18670	226
988	18688	207
989	18704	188
990	18721	170
991	18739	151
992	18759	132
993	18778	113
994	18798	94
995	18814	75
996	18832	56
997	18851	37
998	18870	18
999	18889	0
